id;owner.id;data;mandatory;type;mode;secured;defaultValue;availableForSubscription;availableForNode
service:bt:jira:jdbc-url;service:bt:jira;;TRUE;TEXT;;TRUE;jdbc:mysql://localhost:3306/jira?useColumnNamesInFindColumn=true&useUnicode=yes&characterEncoding=UTF-8&autoReconnect=true&maxReconnects=10&useLegacyDatetimeCode=false&serverTimezone=UTC&useSSL=false;FALSE;
service:bt:jira:jdbc-driver;service:bt:jira;;TRUE;TEXT;;;com.mysql.cj.jdbc.Driver;FALSE;
service:bt:jira:jdbc-user;service:bt:jira;;TRUE;TEXT;;TRUE;ligoj;FALSE;
service:bt:jira:jdbc-password;service:bt:jira;;TRUE;TEXT;;TRUE;ligoj;FALSE;
service:bt:jira:url;service:bt:jira;;TRUE;TEXT;;;https://sample.org/jira;FALSE;
service:bt:jira:project;service:bt:jira;"{""min"":1}";TRUE;INTEGER;;;;;FALSE
service:bt:jira:pkey;service:bt:jira;;TRUE;TEXT;;;;;FALSE
service:bt:jira:user;service:bt:jira;;FALSE;TEXT;;TRUE;ligoj;FALSE;
service:bt:jira:password;service:bt:jira;;FALSE;TEXT;;TRUE;ligoj;FALSE;
